Date,Open,High,Low,Close,Adj Close,Volume
07-02-2018,190.729996,194.520004,189.720001,191.289993,177.905609,6016800
06-02-2018,178.619995,191.960007,175.419998,191.039993,177.673065,11682700
05-02-2018,190.070007,194.300003,180.380005,183.110001,170.297928,10618500
02-02-2018,199.25,199.300003,193.440002,193.970001,180.398071,6179000
01-02-2018,199.339996,202.25,198.279999,199.899994,185.913162,3553800
31-01-2018,203.220001,205.080002,200.229996,200.899994,186.843155,4547300
30-01-2018,201.470001,203.149994,191.570007,201.809998,187.689514,5979600
29-01-2018,207.229996,207.610001,204.710007,204.919998,190.581894,3632900
26-01-2018,205.600006,207.309998,204.440002,207.229996,192.730255,3778100
25-01-2018,206.800003,206.830002,203.839996,205.369995,191.000412,3537700
24-01-2018,205.199997,207.100006,204.550003,206.220001,191.790924,4370700
23-01-2018,204.889999,206.350006,204.149994,204.899994,190.563309,3621700
22-01-2018,201.600006,204.470001,201.509995,204.460007,190.154114,4857700
19-01-2018,199.809998,201.330002,199.130005,201.330002,187.243103,5809600
18-01-2018,199.779999,200.240005,197.660004,198.330002,184.453018,4474600
