Date,Open,High,Low,Close,Adj Close,Volume
07-02-2018,43.259998,43.560001,41.740002,42.009998,42.009998,51354800
06-02-2018,40.549999,43.93,40.549999,43.880001,43.880001,66972800
05-02-2018,40.139999,41.529999,39.009998,39.400002,39.400002,45796800
02-02-2018,42,42.209999,40.610001,40.82,40.82,40657400
01-02-2018,43.040001,44.09,42.099998,42.490002,42.490002,35713500
31-01-2018,42.98,43.959999,42.77,43.720001,43.720001,45114600
30-01-2018,41.990002,42.799999,41.470001,41.669998,41.669998,38861900
29-01-2018,43.25,43.419998,42.380001,43.290001,43.290001,29455000
26-01-2018,43.220001,43.810001,43.029999,43.669998,43.669998,27177500
25-01-2018,44.23,44.720001,42.860001,43.009998,43.009998,40519200
24-01-2018,43.759998,43.950001,42.740002,43.080002,43.080002,31305700
23-01-2018,43.25,44.66,42.73,43.950001,43.950001,41334100
22-01-2018,42.470001,42.880001,41.68,42.880001,42.880001,37879400
19-01-2018,43.950001,44.200001,42.650002,42.75,42.75,41469200
18-01-2018,44.209999,44.650002,43.91,43.990002,43.990002,25152100
